0 -> 0.600547 	- 0.60182 	| 0.001273 	-> 0s, 1273.0ms
1 -> 0.60185 	- 0.602018 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.602053 	- 0.602325 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.602355 	- 0.602523 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.602558 	- 0.60283 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.602876 	- 0.603049 	| 0.000173 	-> 0s, 173.0ms
0 -> 0.603083 	- 0.604353 	| 0.00127 	-> 0s, 1270.0ms
1 -> 0.604383 	- 0.604537 	| 0.000154 	-> 0s, 154.0ms
0 -> 0.604581 	- 0.604855 	| 0.000274 	-> 0s, 274.0ms
1 -> 0.604884 	- 0.605053 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.605087 	- 0.60636 	| 0.001273 	-> 0s, 1273.0ms
1 -> 0.60639 	- 0.60659 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.606623 	- 0.606866 	| 0.000243 	-> 0s, 243.0ms
1 -> 0.606896 	- 0.607097 	| 0.000201 	-> 0s, 201.0ms
0 -> 0.60713 	- 0.608403 	| 0.001273 	-> 0s, 1273.0ms
1 -> 0.608434 	- 0.608602 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.608636 	- 0.608908 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.608939 	- 0.609106 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.60914 	- 0.610428 	| 0.001288 	-> 0s, 1288.0ms
1 -> 0.610458 	- 0.610626 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.610659 	- 0.611932 	| 0.001273 	-> 0s, 1273.0ms
1 -> 0.611963 	- 0.612131 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.612164 	- 0.612447 	| 0.000283 	-> 0s, 283.0ms
1 -> 0.612477 	- 0.612655 	| 0.000178 	-> 0s, 178.0ms
0 -> 0.612689 	- 0.613948 	| 0.001259 	-> 0s, 1259.0ms
1 -> 0.613978 	- 0.614178 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.614211 	- 0.614484 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.614513 	- 0.614682 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.614715 	- 0.614993 	| 0.000278 	-> 0s, 278.0ms
1 -> 0.615024 	- 0.615195 	| 0.000171 	-> 0s, 171.0ms
0 -> 0.615228 	- 0.6165 	| 0.001272 	-> 0s, 1272.0ms
1 -> 0.61653 	- 0.616732 	| 0.000202 	-> 0s, 202.0ms
0 -> 0.616765 	- 0.618008 	| 0.001243 	-> 0s, 1243.0ms
1 -> 0.618038 	- 0.618238 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.618271 	- 0.618545 	| 0.000274 	-> 0s, 274.0ms
1 -> 0.618575 	- 0.618744 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.618777 	- 0.62005 	| 0.001273 	-> 0s, 1273.0ms
1 -> 0.62008 	- 0.620254 	| 0.000174 	-> 0s, 174.0ms
0 -> 0.620287 	- 0.620537 	| 0.00025 	-> 0s, 250.0ms
1 -> 0.620576 	- 0.620775 	| 0.000199 	-> 0s, 199.0ms
0 -> 0.62081 	- 0.621053 	| 0.000243 	-> 0s, 243.0ms
1 -> 0.621084 	- 0.621282 	| 0.000198 	-> 0s, 198.0ms
0 -> 0.621316 	- 0.622597 	| 0.001281 	-> 0s, 1281.0ms
1 -> 0.622628 	- 0.622797 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.62283 	- 0.623089 	| 0.000259 	-> 0s, 259.0ms
1 -> 0.623119 	- 0.623287 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.623321 	- 0.624621 	| 0.0013 	-> 0s, 1300.0ms
1 -> 0.624651 	- 0.62482 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.624854 	- 0.625127 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.625157 	- 0.625327 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.62536 	- 0.626641 	| 0.001281 	-> 0s, 1281.0ms
1 -> 0.626672 	- 0.626841 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.626874 	- 0.627146 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.627178 	- 0.627348 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.627381 	- 0.62867 	| 0.001289 	-> 0s, 1289.0ms
1 -> 0.6287 	- 0.628868 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.628901 	- 0.629174 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.629204 	- 0.629371 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.629405 	- 0.630684 	| 0.001279 	-> 0s, 1279.0ms
